;bond_length_average;bond_length_variance;bond_length_variance_variance;k_values;length_values
200;0.795336636695;0.00147494234956;6.72862249271e-10;420.0;0.79
201;1.31391068729;0.00163428159466;7.14061736318e-10;380.0;1.31
202;1.13448694168;0.00148876402093;6.67712550427e-10;420.0;1.13
203;1.31189528678;0.000913356553675;2.70047355833e-10;680.0;1.31
204;1.24156359797;0.000791484123416;2.41093097325e-10;820.0;1.24
205;0.892685148314;0.000910132951665;2.89520049349e-10;680.0;0.89
206;0.795965079579;0.00130147947217;5.59679691745e-10;460.0;0.79
207;0.796068494467;0.0015496955199;7.11915046898e-10;380.0;0.79
208;1.29191841092;0.000918164673332;2.34860660252e-10;680.0;1.29
209;1.31210098466;0.000708884408573;1.51702959873e-10;920.0;1.31
210;0.833511370167;0.000891548277362;2.5995300489e-10;680.0;0.83
211;1.27244169678;0.0015729023296;7.52252805689e-10;380.0;1.27
212;1.24207300712;0.000988231590131;3.54697075249e-10;640.0;1.24
213;1.03262908801;0.000716844646505;1.2533074668e-09;920.0;1.03
214;0.852184250224;0.00064060106652;1.28147802032e-10;980.0;0.85
215;0.944128682016;0.00122308480188;4.6657012954e-10;500.0;0.94
216;0.79288137981;0.000741906957925;1.83370011748e-10;860.0;0.79
217;1.35109902983;0.000662344155216;1.25096857176e-10;960.0;1.35
218;0.797251984396;0.00162292961634;8.28683926933e-10;380.0;0.79
219;1.2415577484;0.000658716614018;1.39648295243e-10;980.0;1.24
220;1.05212862899;0.000921234318576;2.66346893958e-10;680.0;1.05
221;1.25174992391;0.000670243179497;1.58825610637e-10;980.0;1.25
222;1.24133274536;0.000726295096365;1.65882145642e-10;860.0;1.24
223;0.944825173999;0.00138473470978;7.03933093879e-10;440.0;0.94
224;1.23154765366;0.000779618425939;1.69839692156e-10;820.0;1.23
225;1.23257931259;0.00117023964027;4.6442278128e-10;520.0;1.23
226;1.09388981669;0.00150954601927;7.43687171766e-10;400.0;1.09
227;1.35429218157;0.00157709396165;7.49800413595e-10;380.0;1.35
228;1.01302911543;0.00103177215041;2.92653146925e-10;620.0;1.01
229;0.944569711005;0.00143013756249;6.16388114427e-10;420.0;0.94
230;0.872297316517;0.000804748537278;1.8681203716e-10;760.0;0.87
231;0.83364519859;0.000850529187369;2.59902082288e-10;720.0;0.83
232;0.942907735597;0.000951830094309;2.60942672797e-10;660.0;0.94
233;0.943600746476;0.00126012996078;6.06390222022e-10;480.0;0.94
234;1.29196135878;0.00105916016067;3.59605590336e-10;580.0;1.29
235;0.942874349063;0.0010891176706;4.29020928678e-10;580.0;0.94
236;0.942639631845;0.000806193849312;1.95806499185e-10;740.0;0.94
237;1.27148913583;0.000701924779597;1.41832992298e-10;880.0;1.27
238;1.09229667597;0.00096584904404;2.62641787048e-10;640.0;1.09
239;1.17141312847;0.000662792173542;1.52967082895e-10;980.0;1.17
240;1.37286906564;0.00158373680778;7.31277476682e-10;380.0;1.37
241;0.912950924456;0.000773353248718;2.00456037135e-10;800.0;0.91
242;0.795321403479;0.00118171833806;4.39056304356e-10;520.0;0.79
243;1.09178118537;0.000737003518479;1.7501486049e-10;840.0;1.09
244;0.796851283572;0.00160367869636;8.90722564304e-10;380.0;0.79
245;1.33103245702;0.000714666633013;2.69648560481e-10;920.0;1.33
246;0.795014613748;0.00115153015961;4.70943311591e-10;540.0;0.79
247;1.19401455217;0.00157669797309;8.13005015216e-10;380.0;1.19
248;1.03291769027;0.00123833941417;6.57993559902e-08;620.0;1.03
249;1.39161427102;0.000908287780662;2.62740535367e-10;680.0;1.39
250;1.27092898266;0.000669762610254;1.31409219996e-10;980.0;1.27
251;1.24329011964;0.00122572127608;4.69177993193e-10;500.0;1.24
252;0.994480668668;0.00159039398005;8.56328120987e-10;380.0;0.99
253;1.24329073163;0.00130977515502;5.57309153914e-10;460.0;1.24
254;1.07166483159;0.000669414068542;1.40097945047e-10;980.0;1.07
255;1.01193471935;0.000665718141329;1.63313168712e-10;980.0;1.01
256;0.991940563927;0.000643075548953;1.37711259535e-10;980.0;0.99
257;1.15312219712;0.00138992207004;5.75887757026e-10;440.0;1.15
258;1.3117571401;0.000990335684205;3.61661014425e-10;600.0;1.31
259;0.793343005153;0.000672539168976;1.70595896374e-10;960.0;0.79
260;0.972661185483;0.000653942650185;1.24236997694e-10;980.0;0.97
261;0.855388552023;0.00136296891349;5.61334379467e-10;440.0;0.85
262;0.942585130049;0.000766740677187;2.37505139116e-10;780.0;0.94
263;1.24276226653;0.00140049871733;6.27173401172e-10;440.0;1.24
264;0.87307736958;0.000895280965202;2.36146945785e-10;680.0;0.87
265;1.39205265394;0.000902061633364;2.66864810652e-10;680.0;1.39
266;0.792975251201;0.000729665659572;1.95267044131e-10;840.0;0.79
267;1.24182116431;0.00110160375326;3.77321878905e-10;560.0;1.24
268;1.11189950799;0.000667673647092;1.40757511974e-10;980.0;1.11
269;1.15161649895;0.000654032572831;1.38308282341e-10;980.0;1.15
270;0.943909989275;0.00117204549524;4.77463453103e-10;520.0;0.94
271;1.13198181291;0.000936275911105;3.38009119703e-10;680.0;1.13
272;1.21374312272;0.00161630635813;7.07497385032e-10;380.0;1.21
273;1.09244425219;0.00106813748088;3.89719924407e-10;580.0;1.09
274;1.01183819281;0.000662375878886;1.14235031131e-10;920.0;1.01
275;0.915742737436;0.00163660370012;7.24046456187e-10;380.0;0.91
276;0.794910388751;0.00118124898309;3.60762031441e-10;500.0;0.79
277;0.933013368698;0.000904524407587;2.27154248252e-10;680.0;0.93
278;0.992690789213;0.000902886737366;2.60248167709e-10;680.0;0.99
279;1.05166970108;0.000674030313365;1.53768642175e-10;960.0;1.05
280;1.27258957808;0.00106471831941;3.29752660692e-10;580.0;1.27
281;1.0130323019;0.00105296101234;4.28473496298e-10;600.0;1.01
282;1.24185988648;0.000876278304172;2.8649468992e-10;720.0;1.24
283;0.942469777073;0.000722207320902;2.0323539553e-10;860.0;0.94
